Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56614597,"Gilded (Gilded, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250618843""","=""9781250618849""",0,3.90,Feiwel and Friends,Hardcover,502,2021,2021,,2023/12/21,"to-read, fairytale-retelling, fantasy, romance, series, fae, young-adult","to-read (#157), fairytale-retelling (#22), fantasy (#120), romance (#97), series (#115), fae (#23), young-adult (#65)",to-read,,,,0,0
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""1250313198""","=""9781250313195""",0,4.22,Tor,Hardcover,448,2019,2019,,2023/12/21,"to-read, fantasy, series","to-read (#156), fantasy (#119), series (#114)",to-read,,,,0,0
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",0,4.30,Spectra,Kindle Edition,752,2016,2006,,2023/12/21,"to-read, fantasy, series","to-read (#155), fantasy (#118), series (#113)",to-read,,,,0,0
34323570,"Furyborn (Empirium, #1)",Claire Legrand,"Legrand, Claire",,"=""1492656623""","=""9781492656623""",0,3.80,Sourcebooks Fire,Hardcover,501,2018,2018,,2023/12/21,"to-read, romance, spicy, series, young-adult","to-read (#154), romance (#96), spicy (#37), series (#112), young-adult (#64)",to-read,,,,0,0
52831200,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457017""","=""9781952457012""",0,4.24,Blue Box Press,ebook,622,2020,2020,,2023/12/21,"to-read, romance, series, fantasy","to-read (#153), romance (#95), series (#111), fantasy (#117)",to-read,,,,0,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,4.63,"Entangled Publishing, LLC (Red Tower Books)",Hardcover,500,2023,2023,,2023/12/21,"to-read, dragons, fantasy, romance, series","to-read (#152), dragons (#11), fantasy (#116), romance (#94), series (#110)",to-read,,,,0,0
37173847,"Foundryside (The Founders Trilogy, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1524760374""","=""""",0,4.19,Del Rey,Kindle Edition,501,2018,2018,,2023/12/21,"to-read, heist, fantasy, series","to-read (#151), heist (#8), fantasy (#115), series (#109)",to-read,,,,0,0
44414927,"Fortuna Sworn (Fortuna Sworn, #1)",K.J. Sutton,"Sutton, K.J.",,"=""0578489678""","=""9780578489674""",0,3.60,"Once Upon a Time Books, LLC",Paperback,314,2019,2019,,2023/12/21,"to-read, romance, fae, series, urban-fantasy","to-read (#150), romance (#93), fae (#22), series (#108), urban-fantasy (#20)",to-read,,,,0,0
53418394,"For the Wolf (Wilderwood, #1)",Hannah F. Whitten,"Whitten, Hannah F.",,"=""0316592781""","=""9780316592789""",0,3.63,Orbit Books,Paperback,437,2021,2021,,2023/12/21,"to-read, romance, series, fairytale-retelling, fantasy, wolves","to-read (#149), romance (#92), series (#107), fairytale-retelling (#21), fantasy (#114), wolves (#9)",to-read,,,,0,0
58484077,"Forging Silver into Stars (Forging Silver into Stars, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1547609125""","=""9781547609123""",0,4.17,Bloomsbury YA,Hardcover,560,2022,2022,,2023/12/21,"to-read, asian, fantasy, series, young-adult","to-read (#148), asian (#8), fantasy (#113), series (#106), young-adult (#63)",to-read,,,,0,0
